R1 G1 B1 R2 G2 B2 R3 G3 B3 R4 G4 B4 labels
123.1881 184.6744 63.2183 154.9786 181.2025 45.7361 176.6525 172.7447 29.4142 210.8078 163.4989 11.3447 TC
109.5469 168.9919 54.5922 143.5289 162.5453 34.8933 168.0044 158.3464 23.3025 205.0350 154.4028 9.3439 TC
94.9119 155.4461 47.3553 137.6917 156.1439 32.3944 171.3831 162.1972 26.1517 199.9828 150.5528 10.7103 TC
77.4706 135.7625 35.6489 125.7367 141.6406 29.1458 151.3144 137.8825 19.2733 186.5383 135.2206 13.7989 TC
57.1250 104.0361 33.0342 102.5325 113.6739 26.2936 141.5425 127.3903 16.2956 171.3722 118.2481 10.2031 TC
54.4300 98.7158 32.0964 90.0456 96.5622 23.7536 128.4992 110.0378 15.0667 161.0350 105.6356 7.4608 TC
43.0489 80.7739 30.8350 85.8531 93.7486 25.3533 107.6708 85.6808 16.2469 146.3761 89.5828 7.8408 TC
118.9036 180.4875 60.1756 154.7500 179.7500 42.1225 172.9439 168.6003 31.7858 209.0258 160.6036 8.7747 TC
107.5278 166.6517 54.1936 142.0386 160.7336 34.9850 168.3872 157.6264 22.4206 203.1964 151.9169 7.2225 TC
93.2492 152.9433 46.0358 136.0872 154.6000 30.6603 167.8400 157.6850 24.6678 193.8519 144.2858 11.5386 TC
81.3619 138.7892 37.9367 126.5331 141.9303 30.7517 146.0969 131.0181 16.4600 186.9575 134.4692 11.2197 TC
60.1272 108.0564 32.1233 111.7739 123.0411 25.7428 139.3964 124.4828 15.0028 177.4967 122.7658 8.4133 TC
55.0292 99.9222 29.0189 91.9978 97.8406 26.1178 126.0431 107.0719 14.4461 162.3981 105.2478 5.9169 TC
42.7656 80.5917 28.4914 89.1769 96.2969 21.8858 111.6875 87.6578 14.0642 150.3961 92.4142 6.5761 TC
125.5389 187.2547 59.6917 159.5908 184.7697 44.6117 173.1614 167.6572 23.9031 206.4006 158.5889 7.7581 TC
102.7861 160.9725 51.8983 143.3297 161.4208 31.3306 167.8094 157.2883 21.6144 205.5247 153.5772 6.5436 TC
98.7308 158.8531 44.9025 138.3869 155.6503 29.3883 170.6256 160.1800 22.2050 201.0422 150.0514 8.5142 TC
77.7744 134.1897 35.5122 130.0169 144.5208 26.7639 150.4300 135.7850 20.7333 188.3344 132.9875 7.2461 TC
61.0669 109.0839 29.5628 112.0797 122.7731 22.9911 140.0839 124.7033 17.9544 172.7758 116.3719 7.6169 TC
54.5178 98.6014 31.3936 89.4828 94.4308 22.7878 126.9217 108.7011 16.9100 163.6792 104.9833 5.0922 TC
40.3094 75.6250 29.6658 87.8953 95.6775 23.4122 110.8408 87.8450 16.7628 147.8003 88.1967 4.5883 TC
124.8442 184.7928 59.9111 159.3250 183.1347 43.4583 176.4014 169.6897 25.9206 207.2656 158.0633 7.4611 TC
111.0803 169.2153 51.8178 145.6942 163.5636 31.0906 170.0281 159.0144 24.6325 207.7256 154.5325 6.4508 TC
99.6194 159.1675 43.3017 141.1464 158.6875 30.3331 171.5131 160.6394 20.9917 202.7533 151.2031 8.1756 TC
81.7014 139.2556 39.0233 131.8853 146.9133 26.7453 150.2144 135.6672 19.9378 189.3092 135.4625 10.9161 TC
56.4936 101.4997 32.3886 109.4011 119.7961 21.5500 143.6336 128.9733 17.7694 175.1803 118.5514 6.5344 TC
55.6303 100.6497 31.8056 91.0608 95.9775 21.3817 128.3497 108.9522 15.5278 159.2700 99.4906 3.6333 TC
